-----BEGIN NAMESPACES-----
namespace_id,address,buckets,base,coeff,nonalpha_discount,no_vowel_discount,lifetime
ava.id,SP28VYJE5JP0XD8SXEZX46BJMKT21TK88A9XKPCP7,e0910ad00812e062224ec4d4c879778fa3464689
avamarie.id,SP26VP7K92AW8XVGFNP3Q340SFAN6P9YE04AVY6M5,5752cf0d5528436ca73baf4d21548afb9e84871b
avatar.id,SP1BHX27DEK13WQST2F3HAN180PR84JADT8R1JB5G,7473502e706d781aa8a2fc83e4059efb846903ab
avatars.id,SPQMZ1SQAK4MBJ0ET6BHBBM26XQYVBJK45TS6C8B,473dc8992bfb87e86b417315a584683cc54f293c
aveeno.miner,SP39NT82741XA67R4R9GZJ23YSTXEFFSZ5BXRRGBJ,5adbe1c6210232e69ec38cb07213c6e4a6cf1d4a
avnish.id,SP29WN2R1579QDJQG9G4GGGZT8GAEXQSNCMXHA0XY,ed058ac3971d3c56b1348f8c13090e6407ff5254
axsometherapeutics.id,SP1V8AXJ6ZQ1JHJA0HB2VF7ME4QQ6T0E355VAWHN7,85d357db716f6d046c88c7b0a425cc029cf1235e
b0dyp0litic.id,SP3S8DRXNG1Y6E0M966HD0MEQYD38RKYQSW34THN0,11a6f3b50afca7cb3368dc6d1805a051ece72425
bachem.id,SP3HMC3904S3DBX0VJHYTV4RF3A0H7WAWNTY98M4G,ea2cb4416b28b09dc00135c0e9f234208856516a
balance_crux.id,SP1J11HYEXR2DQWB41ANXJBQETM98C2GYAT67DVC8,b2752d575c0e25af42f64adde09d9adc0f1a202a
balance_dev_crux.id,SP3ZWK10E9TZQTF2PR8Q3RYXP0KTA3QKW21SAA7JA,50a485ad27b5cbde13e0f9c9bd07d846a4cd4490
bancosantander.id,SP1GA9YB1F1GW6KV1YXKKPVDNQ2PG6W655RZY99JF,64f2d2c448d4001d5004f3568ec42d5939a84ee4
bank.id,SP1KKMKWAAZ8H3BNFWHHP4QQP3QY8JJENKQGRQWPX,b6549c4c5a36e4c87a32c4a9521bc76febce1786
